id	name	label_1	label_2	abbr	bldng_phrase_list	info_description	image
101834	Nelson Hall East		NELSON HALL<br> EAST	NHE	"Nelson Hall, East, NHE, Goodwin Forum"	"'<b>Nelson Hall East</b><p>African American Center for Academic Excellence (AACAE): Room 206</p><p>Goodwin Forum: Room 102</p><p>Latinx Center for Academic Excellence (LCAE): Room 205</p><div style=""height:150x;width:150px""><img src=""Building_Images/NH.jpg"" /></div>'"	'U:/public_html/HSUWeb2/Map/Building_Images/NH.jpg'
112722	University Center		UNIVERSITY <br> CENTER	UC	"University Center, Kate Buchanan Room, KBR, Food, Student Lounge, Clubs Office, Information, Bookstore"	"'<b>University Center</b><p>Bookstore: 2nd Floor</p><p>Center Arts: 2nd Floor</p><p>Karshner Lounge</p><p>Kate Buchanan Room: Room 225</p><p>UC South Lounge</p><p>University Center Banquet Room</p><p><i>OZZI Reusable Containers located in the Depot; student-led and funded by Humboldt Energy Independence Fund</i></p><div style=""height:150x;width:150px""><img src=""Building_Images/University_Center.jpg"" /></div>'"	'U:/public_html/HSUWeb/Map/Building_Images/University_Center.jpg'
113542	Forbes Gym	FORBES GYM	FORBES GYM	FGYM	"Forbes Gym, Gym, Basketball, FGYM"	"'<b>Forbes Gym</b><p></p><div style=""height:150x;width:150px""><img src=""Building_Images/forbes.jpg"" /></div>'"	'U:/public_html/HSUWeb2/Map/Building_Images/forbes.jpg'
119725	Hemlock Residence Hall		HEMLOCK	None	"Hemlock Residence Hall, Hemlock Building, Canyon Complex, Dorms"	"'<b>Hemlock</b><p></p><div style=""height:150x;width:150px""><img src=""Building_Images/Hemlock.jpg"" /></div>'"	'U:/public_html/HSUWeb/Map/Building_Images/Hemlock.jpg'
119803	Parking Kiosk		PARKING <br> SERVICES	None	"Parking Kiosk, Parking Services"	"'<b>Parking Services</b><p>Carpool Program: Between 7am-11am, show your HSU General/Staff parking permit and receive a Carpool Preferential Parking Permit for the day, which allows you to park in the designated Carpool Parking Spaces in G11 parking lot.</p><div style=""height:150x;width:150px""><img src=""Building_Images/Parking_Services.jpg"" /></div>'"	'U:/public_html/HSUWeb/Map/Building_Images/Parking_Services.jpg'
125981	Community Center		COMMUNITY <br> SERVICES	CCCTR	"Community Center, Community Services, Great Hall"	"'<b>Community Services</b> <p>College Creek Marketplace</p><p>Great Hall: 2nd Floor</p><p><i>OZZI Reusable Containers located in the Marketplace; student-led and funded by Humboldt Energy Independence Fund</i></p> <div style=""height:150x;width:150px""> <img src=""Building_Images/South_Marketplace.jpg"" /></div>'"	'U:/public_html/HSUWeb/Map/Building_Images/South_Marketplace.jpg'
127757	Mendocino Residence Hall		MENDOCINO	None	"Mendocino Residence Hall, Dorms, College Creek Complex"	"'<b>Mendocino</b><p>Academic Intensive Living</p><div style=""height:150x;width:150px""><img src=""Building_Images/Mendocino.jpg"" /></div>'"	'U:/public_html/HSUWeb2/Map/Building_Images/Mendocino.jpg'
147024	Trinity Residence Hall		TRINITY	None	"Trinity Residence Hall, Dorms, College Creek Complex"	"'<b>Trinity</b><p>Veterans Housing</p><div style=""height:150x;width:150px""><img src=""Building_Images/Trinity.jpg"" /></div>'"	'U:/public_html/HSUWeb/Map/Building_Images/Trinity.jpg'
153144	Shasta Residence Hall		SHASTA	None	"Shasta Residence Hall, Dorms, College Creek Complex"	"'<b>Shasta</b><p></p><div style=""height:150x;width:150px""><img src=""Building_Images/Shasta.jpg"" /></div>'"	'U:/public_html/HSUWeb/Map/Building_Images/Shasta.jpg'
153743	Del Norte Residence Hall		DEL NORTE	None	"Del Norte Residence Hall, College Creek Complex, Dorms"	"'<b>Del Norte</b><p>Upperclassmen and Non-Traditional Aged Student Housing</p> <div style=""height:150x;width:150px""> <img src=""Building_Images/DelNorte.jpg"" /></div>'"	'U:/public_html/HSUWeb/Map/Building_Images/DelNorte.jpg'
